epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,7981.17,0.91357,1.05988,1.05166,0.50744,0.37027,0.37343,0.30983,0.8766,1.55063,1.06859,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
31,8242.22,0.91257,1.03796,1.04763,0.47825,0.36395,0.35664,0.30069,0.88923,1.56326,1.07941,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
32,8505.19,0.91052,1.03722,1.04477,0.53608,0.35092,0.36088,0.30225,0.88052,1.56044,1.07477,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
33,8767.01,0.90808,1.02231,1.04201,0.51945,0.36122,0.36761,0.30757,0.88408,1.52584,1.07485,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
34,9033.35,0.90052,1.00802,1.04193,0.48622,0.37015,0.3702,0.30969,0.86659,1.51456,1.06428,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
35,9294.01,0.90366,0.98835,1.04125,0.48758,0.37014,0.36323,0.30012,0.87936,1.54715,1.07941,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
36,9550.26,0.89022,0.97929,1.03749,0.48795,0.36057,0.36196,0.30069,0.88983,1.52762,1.07773,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
37,9811.79,0.88674,0.96337,1.03593,0.53864,0.35103,0.36554,0.30357,0.88151,1.55076,1.06983,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
38,10074.8,0.89625,0.9687,1.0388,0.60739,0.32945,0.3689,0.30599,0.88316,1.50496,1.07379,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
39,10339.2,0.885,0.96418,1.03785,0.52065,0.35851,0.367,0.31077,0.87583,1.53771,1.07103,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
40,10602,0.88936,0.9578,1.03555,0.53845,0.35315,0.36864,0.30891,0.87318,1.52802,1.07022,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
41,10924.7,0.9679,1.05768,1.06288,0.52772,0.35897,0.3641,0.30532,0.8869,1.54033,1.06913,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
42,11184.2,0.94806,1.02076,1.05257,0.54331,0.34755,0.36933,0.30841,0.87943,1.52415,1.06517,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909
43,11441.7,0.94741,0.99417,1.04786,0.5038,0.36014,0.35815,0.3013,0.88151,1.53865,1.05921,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
44,11703.2,0.93484,0.98088,1.04528,0.46671,0.3548,0.35647,0.29893,0.89267,1.54494,1.07568,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095
45,11965.1,0.92767,0.96035,1.04177,0.43405,0.38785,0.35891,0.2992,0.88529,1.53164,1.06351,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
46,12230.8,0.92709,0.95671,1.03796,0.49855,0.35876,0.36409,0.30626,0.87304,1.51747,1.0561,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
47,12491.9,0.91756,0.94064,1.03354,0.51477,0.354,0.36339,0.30711,0.86804,1.52421,1.05838,0.000297304,9.91E-05,0.000297304,9.91E-05,0.000297304,9.91E-05,0.000297304,9.91E-05
48,12760.6,0.91087,0.92999,1.03103,0.55044,0.34217,0.36618,0.30779,0.8781,1.52073,1.05827,0.00023131,7.71E-05,0.00023131,7.71E-05,0.00023131,7.71E-05,0.00023131,7.71E-05
49,13037.2,0.92292,0.92281,1.0326,0.51332,0.37284,0.36719,0.307,0.87234,1.50703,1.05715,0.000165317,5.51E-05,0.000165317,5.51E-05,0.000165317,5.51E-05,0.000165317,5.51E-05
50,13296.8,0.91882,0.9281,1.03282,0.51454,0.36874,0.36756,0.30907,0.87177,1.50849,1.05639,9.93E-05,3.31E-05,9.93E-05,3.31E-05,9.93E-05,3.31E-05,9.93E-05,3.31E-05
